Names	BdoubleO100	BigB - Minecraft	Dangthatsalongname	EthosLab	GoodTimesWithScar	Grian	impulseSV	InTheLittleWood - EN VTuber	PearlescentMoon	rendog	SmallishBeans	Solidarity	Tango Tek	ZombieCleo
"Aug 17, 2015"	1086322.656	0	6977	1805869	194330	65358	51077.786	83371.039	12.853	98234.119	479029	11687	147185	45122.354
"Aug 18, 2015"	1086554.351	0	7001	1806216	194419	68481	51147.121	83414.661	12.863	98265.744	479775	11727	147345.643	45169.529
"Aug 19, 2015"	1086786.046	0	7033	1806581	194818	69984	51216.455	83458.284	12.872	98297.369	480463	11733	147506.286	45216.704
"Aug 20, 2015"	1087017.741	0	7038	1806882	195051	71802	51285.79	83501.906	12.882	98328.994	481090	11754	147666.929	45263.879
"Aug 21, 2015"	1087249.436	70.086	7062	1807184	195067	74906	51355.125	83545.528	12.891	98360.62	481668	11769	147827.571	45311.053
"Aug 22, 2015"	1087481.131	140.172	7085	1807431	195432	77481	51424.46	83589.15	12.901	98392.245	482429	11839	147988.214	45358.228
"Aug 23, 2015"	1087712.826	210.258	7113	1807583	195640	79841	51493.795	83632.773	12.91	98423.87	483070	11846	148148.857	45405.403
"Aug 24, 2015"	1087944.521	280.344	7131	1807722	195836	80884	51563.129	83676.395	12.92	98455.495	483639	11879	148309.5	45452.578
"Aug 25, 2015"	1088176.215	350.43	7144	1807951	195861	82347	51632.464	83720.017	12.929	98487.12	484013	11906	148470.143	45499.753
"Aug 26, 2015"	1088407.91	420.516	7176	1808155	196027	83587	51701.799	83763.639	12.939	98518.745	484873	11939	148630.786	45546.928
"Aug 27, 2015"	1088639.605	490.602	7191	1808594	196261	84872	51771.134	83807.262	12.948	98550.371	485445	11979	148791.429	45594.103
"Aug 28, 2015"	1088871.3	560.688	7203	1808937	196445	86065	51840.469	83850.884	12.958	98581.996	486024	11985	148952.071	45641.278
"Aug 29, 2015"	1089102.995	630.773	7228	1809794	196558	86700	51909.804	83894.506	12.967	98613.621	486743	12009	149112.714	45688.453
"Aug 30, 2015"	1089334.69	700.859	7253	1810369	196671	87956	51979.138	83938.129	12.977	98645.246	487639	12010	149273.357	45735.628
"Aug 31, 2015"	1089566.385	770.945	7275	1810571	196873	88713	52048.473	83981.751	12.986	98676.871	488312	12030	149434	45782.802
"Sep 01, 2015"	1089798.079	841.031	7287	1810450	197073	89237	52117.808	84025.373	12.996	98708.496	488675	12035	149594.643	45829.977
"Sep 02, 2015"	1090029.774	911.117	7295	1811076	197263	90140	52187.143	84068.995	13.005	98740.122	489329	12049	149755.286	45877.152
"Sep 03, 2015"	1090261.469	981.203	7323	1811349	197341	90919	52256.478	84112.618	13.015	98771.747	490175	12051	149915.929	45924.327
"Sep 04, 2015"	1090493.164	1051.289	7325	1811643	197516	91586	52325.813	84156.24	13.024	98803.372	490700	12068	150076.571	45971.502
"Sep 05, 2015"	1090724.859	1121.375	7342	1812115	197663	93101	52395.147	84199.862	13.034	98834.997	491836	12078	150237.214	46018.677
"Sep 06, 2015"	1090956.554	1191.461	7366	1812585	197710	93726	52464.482	84243.485	13.043	98866.622	493144	12129	150397.857	46065.852
"Sep 07, 2015"	1091188.249	1261.547	7388	1812839	197926	95631	52533.817	84287.107	13.053	98898.248	494216	12149	150558.5	46113.027
"Sep 08, 2015"	1091419.944	1331.633	7413	1813253	198185	96547	52603.152	84330.729	13.062	98929.873	494899	12161	150719.143	46160.202
"Sep 09, 2015"	1091651.638	1401.719	7430	1813534	198278	97031	52672.487	84374.351	13.072	98961.498	495762	12179	150879.786	46207.377
"Sep 10, 2015"	1091883.333	1471.805	7439	1813805	198376	97622	52741.821	84417.974	13.081	98993.123	496723	12185	151040.429	46254.551
"Sep 11, 2015"	1092115.028	1541.891	7448	1813871	198486	98835	52811.156	84461.596	13.091	99024.748	497481	12203	151201.071	46301.726
"Sep 12, 2015"	1092346.723	1611.977	7460	1814295	198713	99938	52880.491	84505.218	13.1	99056.373	498574	12207	151361.714	46348.901
"Sep 13, 2015"	1092578.418	1682.063	7485	1814527	198762	100880	52949.826	84548.84	13.11	99087.999	499671	12265	151522.357	46396.076
"Sep 14, 2015"	1092810.113	1752.148	7517	1814779	198914	101701	53019.161	84592.463	13.119	99119.624	500292	12314	151683	46443.251
"Sep 15, 2015"	1093041.808	1822.234	7521	1814926	199034	102875	53088.496	84636.085	13.129	99151.249	501111	12320	151843.643	46490.426
"Sep 16, 2015"	1093273.503	1892.32	7545	1815013	199110	103765	53157.83	84679.707	13.138	99182.874	502235	12354	152004.286	46537.601
"Sep 17, 2015"	1093505.197	1962.406	7580	1814978	199172	103890	53227.165	84723.33	13.148	99214.499	503221	12353	152164.929	46584.776
"Sep 18, 2015"	1093736.892	2032.492	7608	1815216	199311	105251	53296.5	84766.952	13.157	99246.124	504510	12357	152325.571	46631.951
"Sep 19, 2015"	1093968.587	2102.578	7619	1815627	199484	106224	53365.835	84810.574	13.167	99277.75	506391	12362	152486.214	46679.126
"Sep 20, 2015"	1094200.282	2172.664	7636	1815870	199594	106601	53435.17	84854.196	13.176	99309.375	508069	12367	152646.857	46726.3
"Sep 21, 2015"	1094431.977	2242.75	7659	1816089	199747	108130	53504.504	84897.819	13.186	99341	509708	12408	152807.5	46773.475
"Sep 22, 2015"	1094663.672	2312.836	7682	1816243	199827	108596	53573.839	84941.441	13.195	99339	510668	12419	152968.143	46820.65
"Sep 23, 2015"	1094895.367	2382.922	7715	1816548	199949	109396	53643.174	84985.063	13.205	99342	511792	12430	153128.786	46867.825
"Sep 24, 2015"	1095127.062	2453.008	7745	1816752	200059	110025	53712.509	85028.685	13.214	99357	512596	12434.5	153289.429	46915
"Sep 25, 2015"	1095358.756	2523.094	7765	1816888	200173	110810	53781.844	85072.308	13.224	99362	513318	12439	153450.071	46921
"Sep 26, 2015"	1095590.451	2593.18	7785	1817425	200392	112679	53851.179	85115.93	13.234	99370	514695	12441	153610.714	46907
"Sep 27, 2015"	1095822.146	2663.266	7818	1817770	200572	114400	53920.513	85159.552	13.243	99376	516547	12445	153771.357	46905
"Sep 28, 2015"	1096053.841	2733.352	7847	1817952	200637	115865	53989.848	85203.175	13.253	99390	517638	12471	153932	46903
"Sep 29, 2015"	1096285.536	2803.438	7869	1818053	200734	116790	54059.183	85246.797	13.262	99378	518690	12484	154092.643	46909
"Sep 30, 2015"	1096517.231	2873.523	7879	1818214	200820	117499	54128.518	85290.419	13.272	99376	519547	12487	154253.286	46900
"Oct 01, 2015"	1096748.926	2943.609	7886	1818346	200899	118723	54197.853	85334.041	13.281	99384	520483	12490	154413.929	46892
"Oct 02, 2015"	1096980.621	3013.695	7889	1818519	201007	119707	54267.188	85377.664	13.291	99382	521433	12515	154574.571	46871
"Oct 03, 2015"	1097212.315	3083.781	7892	1818717	201198	120399	54336.522	85421.286	13.3	99388	522722	12516	154735.214	46852
"Oct 04, 2015"	1097444.01	3153.867	7955	1819101	201324	121896	54405.857	85464.908	13.31	99411	524287	12543	154895.857	46851
"Oct 05, 2015"	1097675.705	3223.953	7980	1819409	201385	122874	54475.192	85508.53	13.319	99403	525211	12558	155056.5	46850
"Oct 06, 2015"	1097907.4	3294.039	7981	1819464	201467	123741	54544.527	85552.153	13.329	99374	526026	12564	155217.143	46839
"Oct 07, 2015"	1098139.095	3364.125	7997	1819602	201557	124536	54613.862	85595.775	13.338	99380	526748	12579	155377.786	46840
"Oct 08, 2015"	1098370.79	3434.211	8006	1819626	201620	125506	54683.196	85639.397	13.348	99383	527463	12587	155538.429	46833
"Oct 09, 2015"	1098602.485	3504.297	8023	1819973	201762	126393	54752.531	85683.02	13.357	99370	528249	12612	155699.071	46834
"Oct 10, 2015"	1098834.179	3574.383	8027	1820448	201942	127376	54821.866	85726.642	13.367	99378	529410	12613	155859.714	46825
"Oct 11, 2015"	1099065.874	3644.469	8035	1821044	202148	127911	54891.201	85770.264	13.376	99369	530513	12638	156020.357	46822
"Oct 12, 2015"	1099297.569	3714.555	8051	1821459	202290	129238	54960.536	85813.886	13.386	99384	531402	12642.5	156181	46824
"Oct 13, 2015"	1099529.264	3784.641	8077	1821709	202392	129359	55029.871	85857.509	13.395	99386	532060	12647	156341.643	46815
"Oct 14, 2015"	1099760.959	3854.727	8089	1821846	202499	130318	55099.205	85901.131	13.405	99379	532682	12649	156502.286	46802
"Oct 15, 2015"	1099992.654	3924.813	8093	1822024	202606	130898	55168.54	85944.753	13.414	99384	533359	12657	156662.929	46809
"Oct 16, 2015"	1100224.349	3994.898	8107	1822198	202719	131407	55237.875	85988.375	13.424	99382	534107	12679	156823.571	46812
