Names	MrBeast
Bar Color	#00acd2
Bar Images	x
22-Feb-13	36.4
23-Feb-13	36.533
24-Feb-13	36.667
25-Feb-13	36.8
26-Feb-13	36.933
27-Feb-13	37.067
28-Feb-13	37.2
1-Mar-13	37.333
2-Mar-13	37.467
3-Mar-13	37.6
4-Mar-13	37.733
5-Mar-13	37.867
6-Mar-13	38
7-Mar-13	50.5
8-Mar-13	63
9-Mar-13	75.5
10-Mar-13	88
11-Mar-13	83
12-Mar-13	78
13-Mar-13	73
14-Mar-13	76.5
15-Mar-13	80
16-Mar-13	79
17-Mar-13	77.5
18-Mar-13	76
19-Mar-13	74.5
20-Mar-13	73
21-Mar-13	80
22-Mar-13	87
23-Mar-13	94
24-Mar-13	101
25-Mar-13	95
26-Mar-13	92
27-Mar-13	89
28-Mar-13	93
29-Mar-13	97
30-Mar-13	99
31-Mar-13	103
1-Apr-13	104
2-Apr-13	105
3-Apr-13	107
4-Apr-13	108
5-Apr-13	109.5
6-Apr-13	111
7-Apr-13	113
8-Apr-13	112.5
9-Apr-13	112
10-Apr-13	113
11-Apr-13	114.5
12-Apr-13	116
13-Apr-13	117
14-Apr-13	118
15-Apr-13	119
16-Apr-13	120
17-Apr-13	119
18-Apr-13	120
19-Apr-13	121
20-Apr-13	123
21-Apr-13	128
22-Apr-13	128.5
23-Apr-13	129
24-Apr-13	129.5
25-Apr-13	130
26-Apr-13	130.25
27-Apr-13	130.5
28-Apr-13	130.75
29-Apr-13	131
30-Apr-13	131.5
1-May-13	132
2-May-13	132.182
3-May-13	132.364
4-May-13	132.545
5-May-13	132.727
6-May-13	132.909
7-May-13	133.091
8-May-13	133.273
9-May-13	133.455
10-May-13	133.636
11-May-13	133.818
12-May-13	134
13-May-13	133.6
14-May-13	133.2
15-May-13	132.8
16-May-13	132.4
17-May-13	132
18-May-13	131
19-May-13	131.143
20-May-13	131.286
21-May-13	131.429
22-May-13	131.571
23-May-13	131.714
24-May-13	131.857
25-May-13	132
26-May-13	136.833
27-May-13	141.667
28-May-13	146.5
29-May-13	151.333
30-May-13	156.167
31-May-13	161
1-Jun-13	173
2-Jun-13	173.333
3-Jun-13	173.667
4-Jun-13	174
5-Jun-13	174.333
6-Jun-13	174.667
7-Jun-13	175
8-Jun-13	174.429
9-Jun-13	173.857
10-Jun-13	173.286
11-Jun-13	172.714
12-Jun-13	172.143
13-Jun-13	171.571
14-Jun-13	171
15-Jun-13	169
16-Jun-13	168.5
17-Jun-13	168
18-Jun-13	170
19-Jun-13	172
20-Jun-13	174
21-Jun-13	175
22-Jun-13	176
23-Jun-13	177
24-Jun-13	177.25
25-Jun-13	177.5
26-Jun-13	177.75
27-Jun-13	178
28-Jun-13	178.25
29-Jun-13	178.5
30-Jun-13	178.75
1-Jul-13	179
2-Jul-13	179.25
3-Jul-13	179.5
4-Jul-13	179.75
5-Jul-13	180
6-Jul-13	180.5
7-Jul-13	181
8-Jul-13	187
9-Jul-13	193
10-Jul-13	199
11-Jul-13	204
12-Jul-13	209
13-Jul-13	217
14-Jul-13	224
15-Jul-13	228
16-Jul-13	230
17-Jul-13	228
18-Jul-13	232
19-Jul-13	236
20-Jul-13	238
21-Jul-13	241
22-Jul-13	248
23-Jul-13	251
24-Jul-13	257
25-Jul-13	262
26-Jul-13	268
27-Jul-13	272
28-Jul-13	284
29-Jul-13	290
30-Jul-13	303
31-Jul-13	306
1-Aug-13	308
2-Aug-13	310
3-Aug-13	312
4-Aug-13	313
5-Aug-13	314
6-Aug-13	316
7-Aug-13	319
8-Aug-13	321
9-Aug-13	320.5
10-Aug-13	320
11-Aug-13	320.5
12-Aug-13	321
13-Aug-13	324
14-Aug-13	323
15-Aug-13	322
16-Aug-13	325
17-Aug-13	327
18-Aug-13	329
19-Aug-13	330
20-Aug-13	331
21-Aug-13	332
22-Aug-13	333
23-Aug-13	337
24-Aug-13	336
25-Aug-13	337
26-Aug-13	338
27-Aug-13	339
28-Aug-13	340
29-Aug-13	340.5
30-Aug-13	341
31-Aug-13	341.333
1-Sep-13	341.667
2-Sep-13	342
3-Sep-13	341.667
4-Sep-13	341.333
5-Sep-13	341
6-Sep-13	340
7-Sep-13	339.667
8-Sep-13	339.333
9-Sep-13	339
10-Sep-13	340
11-Sep-13	341
12-Sep-13	342
13-Sep-13	342.143
14-Sep-13	342.286
15-Sep-13	342.429
16-Sep-13	342.571
17-Sep-13	342.714
18-Sep-13	342.857
19-Sep-13	343
20-Sep-13	342.5
21-Sep-13	342
22-Sep-13	343
23-Sep-13	343.333
24-Sep-13	343.667
25-Sep-13	344
26-Sep-13	344.25
27-Sep-13	344.5
28-Sep-13	344.75
29-Sep-13	345
30-Sep-13	344.5
1-Oct-13	344
2-Oct-13	344.4
3-Oct-13	344.8
4-Oct-13	345.2
5-Oct-13	345.6
6-Oct-13	346
7-Oct-13	347
8-Oct-13	348
9-Oct-13	347.5
10-Oct-13	347
11-Oct-13	346.667
12-Oct-13	346.333
13-Oct-13	346
14-Oct-13	345.333
15-Oct-13	344.667
16-Oct-13	344
17-Oct-13	344.25
18-Oct-13	344.5
19-Oct-13	344.75
20-Oct-13	345
21-Oct-13	345.25
22-Oct-13	345.5
23-Oct-13	345.75
24-Oct-13	346
25-Oct-13	345
26-Oct-13	347
27-Oct-13	348
28-Oct-13	348.333
29-Oct-13	348.667
30-Oct-13	349
31-Oct-13	349.333
1-Nov-13	349.667
2-Nov-13	350
3-Nov-13	383.5
4-Nov-13	417
5-Nov-13	416
6-Nov-13	413
7-Nov-13	413.333
8-Nov-13	413.667
9-Nov-13	414
10-Nov-13	413
