names	Grian	SmallishBeans	Dangthatsalongname	BigB - Minecraft	EthosLab	BdoubleO100	PearlescentMoon	InTheLittleWood ak...	GoodTimesWithScar	impulseSV	Tango Tek	ZombieCleo	Solidarity	MCSkizzleman
Bar colors	#8a0a01	#3866f9	#48bfea	#c0efff	#87CEEB	#35168b	#fff5c3	#72ca30	#306166	#f2ca37	#fc1900	#abadaa	#373797	#0020ff
Bar images	x	x	x	x	x	x	x	x	x	x	x	x	x	x
10-Dec-11	0	235487			74012	13754	0	1988.155671	1120.5			3204		
11-Dec-11	0	235605			74772	13914	0	1989.642698	1122			3219		
12-Dec-11	0	235682			75261	14018	0	1991.129726	1121.5			3231		
13-Dec-11	0	235728			75789	14112	0	1992.616753	1121			3247		
14-Dec-11	0	235817			76157	14183	0	1994.103781	1123			3269		
15-Dec-11	0	235861			76438	14243	0	1995.590808	1125			3285		
16-Dec-11	0	235916			76888	14283	0	1997.077835	1127			3296		
17-Dec-11	0	235988			77532	14343	0	1998.564863	1126			3304		
18-Dec-11	0	236051			78168	14420	0	2000.05189	1128			3325		
19-Dec-11	0	236127			78556	14503	0	2001.538918	1131			3331		
20-Dec-11	0	236317			78966	14563	0	2003.025945	1136			3335		
21-Dec-11	0	236455			79338	14577	0	2004.512973	1140			3345		
22-Dec-11	0	236586			79793	14675	0	2006	1149			3371		
23-Dec-11	0	236679			80146	14709	0	2010	1151			3391		
24-Dec-11	0	236743			80410	14769	0	2015	1154			3407		
25-Dec-11	0	236795			80635	14821	0	2019	1162			3425		
26-Dec-11	0	236873			81212	14879	0	2021.5	1163			3435		
27-Dec-11	0	236918			81860	14981	0	2024	1167			3445		
28-Dec-11	0	236978			82403	15326	0	2028	1169			3455		
29-Dec-11	0	237071			83019	15432	0	2031	1172			3462		
30-Dec-11	0	237125			83599	15527	0	2035	1178			3484		
31-Dec-11	0	237183			84155	15609	0	2037	1187			3505		
1-Jan-12	0	237268			84642	15718	0	2036	1186			3521		
2-Jan-12	0	237339			85207	15862	0	2041	1191			3534		
3-Jan-12	0	237446			85588	16001	0	2043	1193			3559		
4-Jan-12	0	237494			86075	16107	0	2045	1201			3573		
5-Jan-12	0	237537			86523	16254	0	2049	1211			3583		
6-Jan-12	0	237586			87002	16361	0	2056	1215			3596		
7-Jan-12	0	237655			87539	16458	0	2101	1221			3602		
8-Jan-12	0	237732			88584	16669	0	2176	1225			3616		
9-Jan-12	0	237795			89071	16837	0	2187	1230			3630		
10-Jan-12	0	237863			89487	16952	0	2190	1236			3638		
11-Jan-12	0	237906			89911	17029	0	2204	1237			3656		
12-Jan-12	0	226019			88599	16889	0	2148	1244			3649		
13-Jan-12	0	226010			88942	16965	0	2156	1196			3651.5		
14-Jan-12	0	226062			89382	17091	0	2158	1207			3654		
15-Jan-12	0	226227			89912	17225	0	2163	1223			3660		
16-Jan-12	0	226293			90454	17388	0	2168	1230			3661		
17-Jan-12	0	226370			90822	17480	0	2172	1235			3665		
18-Jan-12	0	227459			91302	17659	0	2178	1238			3673		
19-Jan-12	0	227925			91746	17789	0	2182	1240			3676		
20-Jan-12	0	228124			92201	17927	0	2183.5	1248			3679		
21-Jan-12	0	228373			92781	18067	0	2185	1256			3684		
22-Jan-12	0	228713			93350	18207	0	2194	1267			3694		
23-Jan-12	0	228849			93918	18296	0	2197	1276			3708		
24-Jan-12	0	228939			94490	18407	0	2195	1288			3713		
25-Jan-12	0	229040			95168	18588	0	2200	1330			3722		
26-Jan-12	0	230158			95705	18715	0	2203	1355			3728		
27-Jan-12	0	230383			96361	18924	0	2207	1368			3882		
28-Jan-12	0	230382			97070	19185	0	2209	1374			3929		
29-Jan-12	0	230355			97971	19464	0	2219	1385			3942		
30-Jan-12	0	230278			98666	19636	0	2222	1392			3980		
31-Jan-12	0	230339			99353	19829	0	2227	1395			3984		
1-Feb-12	0	230358			100001	20033	0	2231	1398			4005		
2-Feb-12	0	230269			100605	20374	0	2237	1401			4032		
3-Feb-12	0	230166			101316	20885	0	2238	1400			4066		
4-Feb-12	0	230114			102340	21295	0	2239	1401			4094		
5-Feb-12	0	230137			103286	21661	0	2244	1408			4111		
6-Feb-12	0	230150			103974	22004	0	2243	1410			4133		
7-Feb-12	0	230246			104635	22249	0	2245	1409			4165		
8-Feb-12	0	230354			105361	22444	0	2245.5	1412			4183		
9-Feb-12	0	230432			105925	22587	0	2246	1415			4196		
10-Feb-12	0	230477			106619	22755	0	2248	1421			4201		
11-Feb-12	0	230541			107472	23073	0	2257	1424			4215		
12-Feb-12	0	230711			108438	23334	0	2263	1425			4232		
13-Feb-12	0	230714			109065	23529	0	2270	1431			4248		
14-Feb-12	0	230745			109635	23749	0	2272	1435			4265		
15-Feb-12	0	230764			110163	24029	0	2274	1442			4297		
16-Feb-12	0	230809			110830	24275	0	2276	1440			4299		
17-Feb-12	0	230846			111572	24573	0	2278	1441			4310		
18-Feb-12	0	230906			112332	24805	0	2281	1444.5			4340		
19-Feb-12	0	230999			113148	25327	0	2286	1448			4384		
20-Feb-12	0	231040			114039	25584	0	2292	1455			4391		
21-Feb-12	0	231093			114763	25858	0	2308	1461			4421		
22-Feb-12	0	231187			115427	26253	0	2321	1469			4445		
23-Feb-12	0	231211			116038	26483	0	2336	1476			4470		
24-Feb-12	0	231237			116665	26820	0	2349	1481			4483		
25-Feb-12	0	231304			117590	27174	0	2355	1484			4511		
26-Feb-12	0	231336			118553	27609	0	2368	1489			4543		
27-Feb-12	0	231363			119313	27881	0	2376	1500			4569		
28-Feb-12	0	231395			119985	28154	0	2385	1507			4585		
29-Feb-12	0	231401			120606	28552	0	2392	1512			4596		
1-Mar-12	0	231414			121233	28923	0	2396	1515			4610		
2-Mar-12	0	231419			121970	29186	0	2400	1522			4618		
3-Mar-12	0	231428			122935	29575	0	2402	1530			4630		
4-Mar-12	0	231475			124001	29946	0	2403.666667	1546			4641		
5-Mar-12	0	231471			124720	30197	0	2405.333333	1556			4650		
6-Mar-12	0	231651			125635	30392	0	2407	1560			4654		
7-Mar-12	0	231826			126294	30616	0	2410	1565			4669		
8-Mar-12	0	231875			126948	30835	0	2415	1574			4686		
9-Mar-12	0	231884			127502	31027	0	2447	1581			4691		
10-Mar-12	0	231895			128360	31363	0	2452	1590			4697		
11-Mar-12	0	231938			129210	31691	0	2474	1591			4711		
12-Mar-12	0	231976			130061	31922	0	2476	1604			4724		
13-Mar-12	0	232009			130831	32065	0	2478.5	1613			4744		
