Date	Subscribers	Views	Subscriber 2	Views 2	Subscibers 3	Views 3	Subscribers 4	Views 4
"Feb 02, 2014"	183.9836957	10613.59239			61.67565832	22888.31818	0.448243993	39.50184843
"Feb 03, 2014"	185.8804348	10723.01087			61.7135517	22918.09466	0.452865065	39.73382625
"Feb 04, 2014"	187.7771739	10832.42935			61.75144509	22947.87113	0.457486137	39.96580407
"Feb 05, 2014"	189.673913	10941.84783			61.78933847	22977.64761	0.462107209	40.19778189
"Feb 06, 2014"	191.5706522	11051.2663			61.82723186	23007.42409	0.466728281	40.4297597
"Feb 07, 2014"	193.4673913	11160.68478			61.86512524	23037.20056	0.471349353	40.66173752
"Feb 08, 2014"	195.3641304	11270.10326			61.90301863	23066.97704	0.475970425	40.89371534
"Feb 09, 2014"	197.2608696	11379.52174			61.94091201	23096.75351	0.480591497	41.12569316
"Feb 10, 2014"	199.1576087	11488.94022			61.97880539	23126.52999	0.485212569	41.35767098
"Feb 11, 2014"	201.0543478	11598.3587			62.01669878	23156.30647	0.489833641	41.5896488
"Feb 12, 2014"	202.951087	11707.77717			62.05459216	23186.08294	0.494454713	41.82162662
"Feb 13, 2014"	204.8478261	11817.19565			62.09248555	23215.85942	0.499075786	42.05360444
"Feb 14, 2014"	206.7445652	11926.61413			62.13037893	23245.6359	0.503696858	42.28558226
"Feb 15, 2014"	208.6413043	12036.03261			62.16827232	23275.41237	0.50831793	42.51756007
"Feb 16, 2014"	210.5380435	12145.45109			62.2061657	23305.18885	0.512939002	42.74953789
"Feb 17, 2014"	212.4347826	12254.86957			62.24405909	23334.96532	0.517560074	42.98151571
"Feb 18, 2014"	214.3315217	12364.28804			62.28195247	23364.7418	0.522181146	43.21349353
"Feb 19, 2014"	216.2282609	12473.70652			62.31984586	23394.51828	0.526802218	43.44547135
"Feb 20, 2014"	218.125	12583.125			62.35773924	23424.29475	0.53142329	43.67744917
"Feb 21, 2014"	220.0217391	12692.54348			62.39563263	23454.07123	0.536044362	43.90942699
"Feb 22, 2014"	221.9184783	12801.96196			62.43352601	23483.8477	0.540665434	44.14140481
"Feb 23, 2014"	223.8152174	12911.38043			62.4714194	23513.62418	0.545286506	44.37338262
"Feb 24, 2014"	225.7119565	13020.79891			62.50931278	23543.40066	0.549907579	44.60536044
"Feb 25, 2014"	227.6086957	13130.21739			62.54720617	23573.17713	0.554528651	44.83733826
"Feb 26, 2014"	229.5054348	13239.63587			62.58509955	23602.95361	0.559149723	45.06931608
"Feb 27, 2014"	231.4021739	13349.05435			62.62299294	23632.73008	0.563770795	45.3012939
"Feb 28, 2014"	233.298913	13458.47283			62.66088632	23662.50656	0.568391867	45.53327172
"Mar 01, 2014"	235.1956522	13567.8913			62.6987797	23692.28304	0.573012939	45.76524954
"Mar 02, 2014"	237.0923913	13677.30978			62.73667309	23722.05951	0.577634011	45.99722736
"Mar 03, 2014"	238.9891304	13786.72826			62.77456647	23751.83599	0.582255083	46.22920518
"Mar 04, 2014"	240.8858696	13896.14674			62.81245986	23781.61246	0.586876155	46.46118299
"Mar 05, 2014"	242.7826087	14005.56522			62.85035324	23811.38894	0.591497227	46.69316081
"Mar 06, 2014"	244.6793478	14114.9837			62.88824663	23841.16542	0.596118299	46.92513863
"Mar 07, 2014"	246.576087	14224.40217			62.92614001	23870.94189	0.600739372	47.15711645
"Mar 08, 2014"	248.4728261	14333.82065			62.9640334	23900.71837	0.605360444	47.38909427
"Mar 09, 2014"	250.3695652	14443.23913			63.00192678	23930.49485	0.609981516	47.62107209
"Mar 10, 2014"	252.2663043	14552.65761			63.03982017	23960.27132	0.614602588	47.85304991
"Mar 11, 2014"	254.1630435	14662.07609			63.07771355	23990.0478	0.61922366	48.08502773
"Mar 12, 2014"	256.0597826	14771.49457			63.11560694	24019.82427	0.623844732	48.31700555
"Mar 13, 2014"	257.9565217	14880.91304			63.15350032	24049.60075	0.628465804	48.54898336
"Mar 14, 2014"	259.8532609	14990.33152			63.19139371	24079.37723	0.633086876	48.78096118
"Mar 15, 2014"	261.75	15099.75			63.22928709	24109.1537	0.637707948	49.012939
"Mar 16, 2014"	263.6467391	15209.16848			63.26718048	24138.93018	0.64232902	49.24491682
"Mar 17, 2014"	265.5434783	15318.58696			63.30507386	24168.70665	0.646950092	49.47689464
"Mar 18, 2014"	267.4402174	15428.00543			63.34296724	24198.48313	0.651571165	49.70887246
"Mar 19, 2014"	269.3369565	15537.42391			63.38086063	24228.25961	0.656192237	49.94085028
"Mar 20, 2014"	271.2336957	15646.84239			63.41875401	24258.03608	0.660813309	50.1728281
"Mar 21, 2014"	273.1304348	15756.26087			63.4566474	24287.81256	0.665434381	50.40480591
"Mar 22, 2014"	275.0271739	15865.67935			63.49454078	24317.58903	0.670055453	50.63678373
"Mar 23, 2014"	276.923913	15975.09783			63.53243417	24347.36551	0.674676525	50.86876155
"Mar 24, 2014"	278.8206522	16084.5163			63.57032755	24377.14199	0.679297597	51.10073937
"Mar 25, 2014"	280.7173913	16193.93478			63.60822094	24406.91846	0.683918669	51.33271719
"Mar 26, 2014"	282.6141304	16303.35326			63.64611432	24436.69494	0.688539741	51.56469501
"Mar 27, 2014"	284.5108696	16412.77174			63.68400771	24466.47142	0.693160813	51.79667283
"Mar 28, 2014"	286.4076087	16522.19022			63.72190109	24496.24789	0.697781885	52.02865065
"Mar 29, 2014"	288.3043478	16631.6087			63.75979448	24526.02437	0.702402957	52.26062847
"Mar 30, 2014"	290.201087	16741.02717			63.79768786	24555.80084	0.70702403	52.49260628
"Mar 31, 2014"	292.0978261	16850.44565			63.83558125	24585.57732	0.711645102	52.7245841
"Apr 01, 2014"	293.9945652	16959.86413			63.87347463	24615.3538	0.716266174	52.95656192
"Apr 02, 2014"	295.8913043	17069.28261			63.91136802	24645.13027	0.720887246	53.18853974
"Apr 03, 2014"	297.7880435	17178.70109			63.9492614	24674.90675	0.725508318	53.42051756
"Apr 04, 2014"	299.6847826	17288.11957			63.98715478	24704.68322	0.73012939	53.65249538
"Apr 05, 2014"	301.5815217	17397.53804			64.02504817	24734.4597	0.734750462	53.8844732
"Apr 06, 2014"	303.4782609	17506.95652			64.06294155	24764.23618	0.739371534	54.11645102
"Apr 07, 2014"	305.375	17616.375			64.10083494	24794.01265	0.743992606	54.34842884
"Apr 08, 2014"	307.2717391	17725.79348			64.13872832	24823.78913	0.748613678	54.58040665
